物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型,,,
盐都区_郭猛民乐_宏站型,盐都,865291_11,320931,14594305,865291,,YC_YD_ZX_郭猛李庄-郭猛民乐_FLD_A_1,11,201,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLD,120.03765,33.23636,7,0,10.112.136.238,,宏站,1,,,
盐都区_郭猛民乐_宏站型,盐都,865291_21,320931,14594305,865291,,YC_YD_ZX_郭猛李庄-郭猛民乐_FLD_B_1,21,202,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLD,120.03765,33.23636,14,120,10.112.136.238,,宏站,1,,,
盐都区_郭猛民乐_宏站型,盐都,865291_31,320931,14594305,865291,,YC_YD_ZX_郭猛李庄-郭猛民乐_FLD_C_1,31,203,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLD,120.03765,33.23636,21,240,10.112.136.238,,宏站,1,,,
北蒋合心村,盐都,865146_11,320931,14594330,865146,1,YC_YD_ZX_北蒋合心村_FLG_A_1,11,249,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_北蒋合心村_FLG,120.001631,33.283161,21,0,,,宏站,1,,,
北蒋合心村,盐都,865146_21,320931,14594330,865146,2,YC_YD_ZX_北蒋合心村_FLG_B_1,21,250,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_北蒋合心村_FLG,120.001631,33.283161,28,120,,,宏站,1,,,
北蒋合心村,盐都,865146_31,320931,14594330,865146,3,YC_YD_ZX_北蒋合心村_FLG_C_1,31,251,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_北蒋合心村_FLG,120.001631,33.283161,35,240,,,宏站,1,,,
大纵湖陈庄村,盐都,865273_31,320931,14594314,865273,31,YC_YD_ZX_大纵湖陈庄村_FLG_C_1,31,368,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_大纵湖陈庄村_FLG,119.853331,33.166389,14,240,,,宏站,1,,,
大纵湖陈庄村,盐都,865273_21,320931,14594314,865273,21,YC_YD_ZX_大纵湖陈庄村_FLG_B_1,21,367,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_大纵湖陈庄村_FLG,119.853331,33.166389,7,110,,,宏站,1,,,
大纵湖陈庄村,盐都,865273_11,320931,14594314,865273,11,YC_YD_ZX_大纵湖陈庄村_FLG_A_1,11,366,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_大纵湖陈庄村_FLG,119.853331,33.166389,0,0,,,宏站,1,,,
郭猛三湾,盐都区,865291_41,320931,14594305,865291,41,YC_YD_ZX_郭猛李庄-郭猛三湾_FLG_A_1,41,96,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLG,120.059961,33.227161,63,0,,,宏站,1,,,
郭猛三湾,盐都区,865291_51,320931,14594305,865291,51,YC_YD_ZX_郭猛李庄-郭猛三湾_FLG_B_1,51,97,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLG,120.059961,33.227161,70,120,,,宏站,1,,,
郭猛三湾,盐都区,865291_61,320931,14594305,865291,61,YC_YD_ZX_郭猛李庄-郭猛三湾_FLG_C_1,61,98,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_郭猛李庄-郭猛民乐_FLG,120.059961,33.227161,77,240,,,宏站,1,,,
盐都区_学富大同村_宏站型,盐都区,865991_11,320931,14594326,865991,11,YC_YD_ZX_盐都学富大同村_FLG_A_1,11,153,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都学富大同村_FLG,119.88582,33.35085,42,0,,,宏站,,,,
盐都区_学富大同村_宏站型,盐都区,865991_21,320931,14594326,865991,21,YC_YD_ZX_盐都学富大同村_FLG_B_1,21,154,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都学富大同村_FLG,119.88582,33.35085,49,120,,,宏站,,,,
盐都区_学富大同村_宏站型,盐都区,865991_31,320931,14594326,865991,31,YC_YD_ZX_盐都学富大同村_FLG_C_1,31,155,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都学富大同村_FLG,119.88582,33.35085,56,240,,,宏站,,,,
三湾,盐都区,865262_11,320931,14594311,865262,11,YC_YD_ZX_三湾_FL_A_1,11,144,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL,120.07399,33.23013,28,0,120.0786996,33.23070071,宏站,1,,,
三湾,盐都区,865262_31,320931,14594311,865262,31,YC_YD_ZX_三湾_FL_C_1,31,146,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL,120.07399,33.23013,42,240,120.0786996,33.23070071,宏站,1,,,
三湾,盐都区,865262_21,320931,14594311,865262,21,YC_YD_ZX_三湾_FL_B_1,21,145,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL,120.07399,33.23013,35,120,120.0786996,33.23070071,宏站,1,,,
盐城_建湖_高作光明人家回迁房,建湖县,865778_31,320939,14596131,865778,31,YC_JH_ZX_建湖高作光明人家回迁房_FL_C_1,31,62,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_建湖高作光明人家回迁房_FL,119.7655268,33.5570384,63,240,,,宏站,1,,,
盐城_建湖_高作光明人家回迁房,建湖县,865778_21,320939,14596131,865778,21,YC_JH_ZX_建湖高作光明人家回迁房_FL_B_1,21,61,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_建湖高作光明人家回迁房_FL,119.7655268,33.5570384,56,120,,,宏站,1,,,
盐城_建湖_高作光明人家回迁房,建湖县,865778_11,320939,14596131,865778,11,YC_JH_ZX_建湖高作光明人家回迁房_FL_A_1,11,60,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_建湖高作光明人家回迁房_FL,119.7655268,33.5570384,49,0,,,宏站,1,,,
盐都区_刘朋小区_宏站型,盐都区,865142_11,320931,14594306,865142,11,YC_YD_ZX_盐都刘朋小区_FL_A_1,11,210,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.125871,33.31942,98,0,,,宏站,1,,,
盐都区_刘朋小区_宏站型,盐都区,865142_21,320931,14594306,865142,21,YC_YD_ZX_盐都刘朋小区_FL_B_1,21,211,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.125871,33.31942,133,120,,,宏站,1,,,
盐都区_刘朋小区_宏站型,盐都区,865142_31,320931,14594306,865142,31,YC_YD_ZX_盐都刘朋小区_FL_C_1,31,212,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.125871,33.31942,140,240,,,宏站,1,,,
盐都区_富力科创城_宏站型,盐都区,865142_41,320931,14594306,865142,41,YC_YD_ZX_盐都富力科技城_FL_A_1,41,84,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.10668,33.31868,35,0,,,宏站,1,,,
盐都区_富力科创城_宏站型,盐都区,865142_51,320931,14594306,865142,51,YC_YD_ZX_盐都富力科技城_FL_B_1,51,85,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.10668,33.31868,49,120,,,宏站,1,,,
盐都区_富力科创城_宏站型,盐都区,865142_61,320931,14594306,865142,61,YC_YD_ZX_盐都富力科技城_FL_C_1,61,86,20821,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都刘朋小区_FL,120.10668,33.31868,70,240,,,宏站,1,,,
高作东站,建湖县,865183_11,320939,14596130,865183,11,YC_JH_ZX_高作东站_FL_A_1,11,207,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作东站_FL,119.799701,33.524891,7,10,,,宏站,1,,,
高作东站,建湖县,865183_21,320939,14596130,865183,21,YC_JH_ZX_高作东站_FL_B_1,21,208,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作东站_FL,119.799701,33.524891,14,120,,,宏站,1,,,
高作东站,建湖县,865183_31,320939,14596130,865183,31,YC_JH_ZX_高作东站_FL_C_1,31,209,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作东站_FL,119.799701,33.524891,28,250,,,宏站,1,,,
特庸白杨村,射阳县,865869_11,320938,14595868,865869,11,YC_SY_ZX_特庸白杨村_FL_A_1,11,366,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_特庸白杨村_FL,120.230831,33.487711,7,5,,,宏站,1,,,
特庸白杨村,射阳县,865869_21,320938,14595868,865869,21,YC_SY_ZX_特庸白杨村_FL_B_1,21,367,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_特庸白杨村_FL,120.230831,33.487711,14,130,,,宏站,1,,,
特庸白杨村,射阳县,865869_31,320938,14595868,865869,31,YC_SY_ZX_特庸白杨村_FL_C_1,31,368,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_特庸白杨村_FL,120.230831,33.487711,21,230,,,宏站,1,,,
青墩地龙村,亭湖区,864317_11,320932,14594072,864317,11,YC_TH_ZX_青墩地龙村_FL_A_1,11,9,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL,120.17853,33.51488,42,70,,,宏站,1,,,
青墩地龙村,亭湖区,864317_21,320932,14594072,864317,21,YC_TH_ZX_青墩地龙村_FL_B_1,21,10,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL,120.17853,33.51488,56,235,,,宏站,1,,,
青墩地龙村,亭湖区,864317_31,320932,14594072,864317,31,YC_TH_ZX_青墩地龙村_FL_C_1,31,11,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL,120.17853,33.51488,63,340,,,宏站,1,,,
草堰工业园区移动,大丰区,865216_11,320934,14594826,865216,11,YC_DF_ZX_草堰工业园区移动_FL_A_1,11,252,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_草堰工业园区移动_FL,120.324381,32.953731,49,0,,,宏站,1,,,
草堰工业园区移动,大丰区,865216_21,320934,14594826,865216,21,YC_DF_ZX_草堰工业园区移动_FL_B_1,21,253,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_草堰工业园区移动_FL,120.324381,32.953731,56,120,,,宏站,1,,,
草堰工业园区移动,大丰区,865216_31,320934,14594826,865216,31,YC_DF_ZX_草堰工业园区移动_FL_C_1,31,254,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_草堰工业园区移动_FL,120.324381,32.953731,77,240,,,宏站,1,,,
大兴张林别墅群,射阳县,865269_11,320938,14595842,865269,11,YC_SY_ZX_大兴张林别墅群_FL_A_1,11,228,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_大兴张林别墅群_FL,120.327468,33.751936,7,0,,,宏站,1,,,
大兴张林别墅群,射阳县,865269_21,320938,14595842,865269,21,YC_SY_ZX_大兴张林别墅群_FL_B_1,21,229,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_大兴张林别墅群_FL,120.327468,33.751936,14,120,,,宏站,1,,,
大兴张林别墅群,射阳县,865269_31,320938,14595842,865269,31,YC_SY_ZX_大兴张林别墅群_FL_C_1,31,230,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_大兴张林别墅群_FL,120.327468,33.751936,28,240,,,宏站,1,,,
洋心村,大丰区,866300_11,320934,14594873,866300,11,YC_DF_ZX_洋心村_FL9_A_1,11,3,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_洋心村_FL9,120.3800479,33.01005171,7,0,,,宏站,1,,,
洋心村,大丰区,866300_21,320934,14594873,866300,21,YC_DF_ZX_洋心村_FL9_B_1,21,4,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_洋心村_FL9,120.3800479,33.01005171,14,120,,,宏站,1,,,
洋心村,大丰区,866300_31,320934,14594873,866300,31,YC_DF_ZX_洋心村_FL9_C_1,31,5,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_洋心村_FL9,120.3800479,33.01005171,56,240,,,宏站,1,,,
高作光明村,建湖县,865400_11,320939,14596103,865400,11,YC_JH_ZX_高作光明村_FL9_A_1,11,24,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作光明村_FL9,119.746461,33.560931,0,0,,,宏站,1,,,
高作光明村,建湖县,865400_21,320939,14596103,865400,21,YC_JH_ZX_高作光明村_FL9_B_1,21,25,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作光明村_FL9,119.746461,33.560931,7,120,,,宏站,1,,,
高作光明村,建湖县,865400_31,320939,14596103,865400,31,YC_JH_ZX_高作光明村_FL9_C_1,31,26,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_高作光明村_FL9,119.746461,33.560931,14,240,,,宏站,1,,,
塘南村,射阳县,865792_11,320938,14595870,865792,11,YC_SY_ZX_塘南村_FL9_A_1,11,237,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.223782,33.598822,28,0,,,宏站,1,,,
塘南村,射阳县,865792_21,320938,14595870,865792,21,YC_SY_ZX_塘南村_FL9_B_1,21,238,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.223782,33.598822,35,120,,,宏站,1,,,
塘南村,射阳县,865792_31,320938,14595870,865792,31,YC_SY_ZX_塘南村_FL9_C_1,31,239,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.223782,33.598822,42,240,,,宏站,1,,,
大丰市_草堰界中C_宏站型,大丰区,864356_11,320934,14594823,864356,11,YC_DF_ZX_大丰草堰界中C_FL_A_1,11,207,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,91,95,,,宏站,1,,,
大丰市_草堰界中C_宏站型,大丰区,864356_21,320934,14594823,864356,21,YC_DF_ZX_大丰草堰界中C_FL_B_1,21,208,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,98,215,,,宏站,1,,,
大丰市_草堰界中C_宏站型,大丰区,864356_31,320934,14594823,864356,31,YC_DF_ZX_大丰草堰界中C_FL_C_1,31,209,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,105,335,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_11,320938,14595841,864379,11,YC_SY_ZX_射兴六队_FL_A_1,11,255,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,70,340,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_21,320938,14595841,864379,21,YC_SY_ZX_射兴六队_FL_B_1,21,256,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,77,130,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_31,320938,14595841,864379,31,YC_SY_ZX_射兴六队_FL_C_1,31,257,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,91,220,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_11,320938,14595848,865457,11,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_A_1,11,375,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,7,0,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_21,320938,14595848,865457,21,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_B_1,21,376,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,14,120,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_31,320938,14595848,865457,31,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_C_1,31,377,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,28,240,,,宏站,1,,,
海河巨星村,射阳县,865441_11,320938,14595845,865441,11,YC_SY_ZX_海河巨星村_FL9_A_1,11,60,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,0,0,,,宏站,1,,,
海河巨星村,射阳县,865441_21,320938,14595845,865441,21,YC_SY_ZX_海河巨星村_FL9_B_1,21,61,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,7,120,,,宏站,1,,,
海河巨星村,射阳县,865441_31,320938,14595845,865441,31,YC_SY_ZX_海河巨星村_FL9_C_1,31,62,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,14,240,,,宏站,1,,,
合德淮海村,射阳县,865456_11,320938,14595847,865456,11,YC_SY_ZX_合德淮海村_FL9_A_1,11,315,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,7,0,,,宏站,1,,,
合德淮海村,射阳县,865456_21,320938,14595847,865456,21,YC_SY_ZX_合德淮海村_FL9_B_1,21,316,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,14,120,,,宏站,1,,,
合德淮海村,射阳县,865456_31,320938,14595847,865456,31,YC_SY_ZX_合德淮海村_FL9_C_1,31,317,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,28,240,,,宏站,1,,,
L描花节点,大丰区,865494_11,320934,14594842,865494,11,YC_DF_ZX_L描花节点_FL9_A_1,11,261,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,0,0,,,宏站,1,,,
L描花节点,大丰区,865494_21,320934,14594842,865494,21,YC_DF_ZX_L描花节点_FL9_B_1,21,262,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,7,120,,,宏站,1,,,
L描花节点,大丰区,865494_31,320934,14594842,865494,31,YC_DF_ZX_L描花节点_FL9_C_1,31,263,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,14,240,,,宏站,1,,,
白驹工业园,大丰区,865128_11,320934,14594818,865128,11,YC_DF_ZX_白驹工业园_FL9_A_1,11,369,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,7,0,,,宏站,1,,,
白驹工业园,大丰区,865128_21,320934,14594818,865128,21,YC_DF_ZX_白驹工业园_FL9_B_1,21,370,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,14,120,,,宏站,1,,,
白驹工业园,大丰区,865128_31,320934,14594818,865128,31,YC_DF_ZX_白驹工业园_FL9_C_1,31,371,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,21,240,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_11,320931,14594329,866081,11,YC_YD_ZX_西港别墅区_FL_A_1,11,261,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,7,0,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_21,320931,14594329,866081,21,YC_YD_ZX_西港别墅区_FL_B_1,21,262,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,14,120,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_31,320931,14594329,866081,31,YC_YD_ZX_西港别墅区_FL_C_1,31,263,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,21,240,,,宏站,1,,,
南阳祥北,大丰区,865671_11,320934,14594852,865671,11,YC_DF_ZX_南阳祥北_FL9_A_1,11,294,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,0,0,,,宏站,1,,,
南阳祥北,大丰区,865671_21,320934,14594852,865671,21,YC_DF_ZX_南阳祥北_FL9_B_1,21,295,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,7,120,,,宏站,1,,,
南阳祥北,大丰区,865671_31,320934,14594852,865671,31,YC_DF_ZX_南阳祥北_FL9_C_1,31,296,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,14,240,,,宏站,1,,,
跃中村部,射阳县,865761_11,320938,14595862,865761,11,YC_SY_ZX_跃中村部_FL9_A_1,11,273,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,21,0,,,宏站,1,,,
跃中村部,射阳县,865761_21,320938,14595862,865761,21,YC_SY_ZX_跃中村部_FL9_B_1,21,274,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,49,120,,,宏站,1,,,
跃中村部,射阳县,865761_31,320938,14595862,865761,31,YC_SY_ZX_跃中村部_FL9_C_1,31,275,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,56,240,,,宏站,1,,,
新坍二,射阳县,865956_31,320938,14595869,865956,31,YC_SY_ZX_新坍二_FL9_C_1,31,89,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,14,240,,,宏站,1,,,
新坍二,射阳县,865956_21,320938,14595869,865956,21,YC_SY_ZX_新坍二_FL9_B_1,21,88,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,7,120,,,宏站,1,,,
新坍二,射阳县,865956_11,320938,14595869,865956,11,YC_SY_ZX_新坍二_FL9_A_1,11,87,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,0,0,,,宏站,1,,,
西厦安置小区,射阳县,866073_11,320938,14595872,866073,11,YC_SY_ZX_射阳西厦安置小区_FL9_A_1,11,360,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,0,0,,,宏站,1,,,
西厦安置小区,射阳县,866073_21,320938,14595872,866073,21,YC_SY_ZX_射阳西厦安置小区_FL9_B_1,21,361,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,7,120,,,宏站,1,,,
西厦安置小区,射阳县,866073_31,320938,14595872,866073,31,YC_SY_ZX_射阳西厦安置小区_FL9_C_1,31,362,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,14,240,,,宏站,1,,,
